symbol,style,weight
BDRFY,Large Blend,1.000000
BHP,Large Blend,1.000000
BHKLY,Large Blend,1.000000
BXBLY,Large Blend,1.000000
BRDCY,Large Value,1.000000
BTI,Large Value,1.000000
BZLFY,Medium Value,1.000000
CKHUY,Large Value,1.000000
CSLLY,Large Value,1.000000
CAIXY,Large Blend,1.000000
CAJPY,Large Value,1.000000
CABGY,Large Blend,1.000000
CLLNY,Large Value,1.000000
CJPRY,Large Value,1.000000
CPYYY,Medium Value,1.000000
CHLSY,Large Blend,1.000000
CHGCY,Large Blend,1.000000
CLPHY,Large Value,1.000000
CHEOY,Medium Blend,1.000000
CRZBY,Large Growth,1.000000
CMWAY,Large Growth,1.000000
CODYY,Large Value,1.000000
CFRUY,Large Growth,1.000000
CMPGY,Large Blend,1.000000
CMSQY,Large Growth,1.000000
CRDIY,Large Blend,1.000000
CRARY,Large Value,1.000000
DBSDY,Large Blend,1.000000
DNBBY,Large Value,1.000000
DSFIY,Large Blend,1.000000
DLICY,Large Value,1.000000
DFKUY,Large Growth,1.000000
DKILY,Large Blend,1.000000
DSNKY,Large Value,1.000000
DTRUY,Large Value,1.000000
DWAHY,Large Value,1.000000
DSEEY,Large Value,1.000000
DANOY,Large Blend,1.000000
DNKEY,Large Value,1.000000
DASTY,Large Blend,1.000000
DNZOY,Large Value,1.000000
DBOEY,Large Growth,1.000000
DTEGY,Large Value,1.000000
DHLGY,Large Value,1.000000
DEO,Large Value,1.000000
DPMAY,Medium Growth,1.000000
DSCSY,Large Growth,1.000000
EDPFY,Large Value,1.000000
E,Large Blend,1.000000
EONGY,Large Value,1.000000
EBCOY,Large Growth,1.000000
ESAIY,Medium Blend,1.000000
ENLAY,Large Value,1.000000
ENGIY,Large Value,1.000000
EQNR,Large Value,1.000000
EBKDY,Large Blend,1.000000
ESLOY,Large Blend,1.000000
EVVTY,Medium Blend,1.000000
EVMNY,Large Growth,1.000000
EXPGY,Medium Blend,1.000000
FRCOY,Large Growth,1.000000
FSUGY,Large Value,1.000000
FSNUY,Large Value,1.000000
FUJIY,Large Value,1.000000
FJIKY,Large Growth,1.000000
FJTSY,Large Blend,1.000000
GXYYY,Large Blend,1.000000
GALDY,Large Growth,1.000000
GBERY,Large Blend,1.000000
GVDNY,Large Blend,1.000000
GSK,Large Value,1.000000
GLNCY,Large Blend,1.000000
HSBC,Large Blend,1.000000
HLN,Large Blend,1.000000
HVRRY,Large Value,1.000000
HDLMY,Large Blend,1.000000
HEINY,Large Blend,1.000000
HESAY,Large Growth,1.000000
HXGBY,Large Value,1.000000
HTHIY,Large Growth,1.000000
HMC,Large Value,1.000000
HKXCY,Large Growth,1.000000
IHICY,Large Blend,1.000000
IBDRY,Large Blend,1.000000
IBIDY,Large Growth,1.000000
IMBBY,Large Value,1.000000
IDEXY,Large Blend,1.000000
IFNNY,Large Growth,1.000000
IFJPY,Medium Blend,1.000000
ING,Large Blend,1.000000
IHG,Large Growth,1.000000
ICAGY,Large Value,1.000000
IKTSY,Medium Blend,1.000000
ISNPY,Large Value,1.000000
ISUZY,Medium Value,1.000000
ITOCY,Large Value,1.000000
JAPSY,Medium Blend,1.000000
JPXGY,Large Blend,1.000000
JAPAY,Large Blend,1.000000
JMHLY,Large Value,1.000000
JBAXY,Medium Blend,1.000000
KAOOY,Large Blend,1.000000
KDDIY,Large Value,1.000000
PPRUY,Large Blend,1.000000
KRYAY,Medium Blend,1.000000
KKOYY,Medium Blend,1.000000
KGSPY,Medium Growth,1.000000
KXIAY,Large Growth,1.000000
KNBWY,Large Value,1.000000
KMTUY,Large Blend,1.000000
ADRNY,Large Value,1.000000
PHG,Large Value,1.000000
KUBTY,Large Value,1.000000
KHNGY,Large Blend,1.000000
KYOAY,Large Blend,1.000000
LRLCY,Large Blend,1.000000
LVMUY,Large Blend,1.000000
LSRCY,Large Growth,1.000000
LGGNY,Large Blend,1.000000
LGRDY,Large Blend,1.000000
FINMY,Large Growth,1.000000
LYG,Large Blend,1.000000
LSEGY,Large Blend,1.000000
LZAGY,Large Blend,1.000000
MSADY,Large Value,1.000000
MTHRY,Medium Growth,1.000000
MQBKY,Large Blend,1.000000
MKTAY,Medium Blend,1.000000
MAKSY,Medium Blend,1.000000
MARUY,Large Value,1.000000
MKKGY,Large Blend,1.000000
OUKPY,Medium Blend,1.000000
MGDDY,Large Value,1.000000
MTSUY,Large Blend,1.000000
MIELY,Large Blend,1.000000
MITEY,Large Blend,1.000000
MHVIY,Large Growth,1.000000
MUFG,Large Blend,1.000000
MITSY,Large Value,1.000000
MTSFY,Large Value,1.000000
MFG,Large Blend,1.000000
MTUAY,Large Blend,1.000000
MURGY,Large Value,1.000000
MRAAY,Large Growth,1.000000
NNGRY,Large Value,1.000000
NABZY,Large Blend,1.000000
NGG,Large Blend,1.000000
NWG,Large Value,1.000000
NTOIY,Large Blend,1.000000
NSRGY,Large Blend,1.000000
NTDOY,Large Blend,1.000000
NPSCY,Large Value,1.000000
NTTYY,Large Value,1.000000
NPNYY,Large Value,1.000000
NDEKY,Large Blend,1.000000
NOK,Large Growth,1.000000
NMR,Large Value,1.000000
NRILY,Large Growth,1.000000
NRDBY,Large Value,1.000000
NHYDY,Medium Value,1.000000
NVS,Large Blend,1.000000
NVO,Large Blend,1.000000
NVZMY,Large Growth,1.000000
OLYMY,Large Blend,1.000000
ORANY,Large Blend,1.000000
OLCLY,Large Growth,1.000000
IX,Large Value,1.000000
ORKLY,Medium Blend,1.000000
OTSKY,Large Blend,1.000000
OVCHY,Large Blend,1.000000
PCRHY,Large Blend,1.000000
PNDRY,Medium Blend,1.000000
PSO,Medium Blend,1.000000
PRNDY,Large Value,1.000000
PROSY,Large Growth,1.000000
PRYMY,Large Growth,1.000000
PUBGY,Large Value,1.000000
QBIEY,Large Value,1.000000
RWEOY,Large Blend,1.000000
RBGLY,Large Value,1.000000
RCRUY,Large Growth,1.000000
RELX,Large Blend,1.000000
RNECY,Large Blend,1.000000
RTO,Medium Blend,1.000000
REPYY,Large Value,1.000000
RSHGY,Large Growth,1.000000
RIO,Large Value,1.000000
RHHBY,Large Blend,1.000000
RYCEY,Large Growth,1.000000
SHEL,Large Value,1.000000
SKFRY,Medium Blend,1.000000
SMCAY,Large Blend,1.000000
SSEZY,Large Blend,1.000000
SAABY,Large Growth,1.000000
SAFRY,Large Growth,1.000000
SAXPY,Large Blend,1.000000
SNY,Large Value,1.000000
SAP,Large Growth,1.000000
SBGSY,Large Growth,1.000000
SOMLY,Large Blend,1.000000
SVNDY,Large Value,1.000000
STRNY,Medium Growth,1.000000
SGSOY,Large Blend,1.000000
SMNNY,Large Blend,1.000000
SHECY,Large Blend,1.000000
SIEGY,Large Blend,1.000000
SMERY,Large Blend,1.000000
SXYAY,Large Blend,1.000000
SGAPY,Large Blend,1.000000
SPXCY,Large Blend,1.000000
SKBSY,Medium Blend,1.000000
SNN,Medium Blend,1.000000
SMGZY,Medium Growth,1.000000
SCGLY,Large Blend,1.000000
SFTBY,Large Blend,1.000000
SOBKY,Large Blend,1.000000
SMPNY,Large Value,1.000000
